name,survey,z,logMstar,logSFR,distance_mpc,hrl_line,strong_line,project_id,mousid,sens_10kms_mJy,ang_res_arcsec,pointing_ra,pointing_dec,predicted_sn_log
NGC1087,PHANGS-ALMA,0.005008,9.94,0.11,15.85,H30a,CO21,2017.1.00392.S,uid://A001/X12d1/Xf8,5.336711416058304,0.9762131113470044,41.60488749994732,-0.49870279254689187,-3.017
NGC3351,PHANGS-ALMA,0.002584,10.37,0.12,9.96,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X283,14.540477695261387,23.493548165287276,160.99055420000133,11.703611100002332,-3.039
NGC4459,PHANGS-ALMA,0.00397,10.68,-0.65,15.85,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X64a,0.9813434350183223,0.5188367272657753,187.25004651460955,13.978891557513665,-3.042
NGC1433,PHANGS-ALMA,0.003527,10.87,0.05,18.63,H30a,CO21,2017.1.00392.S,uid://A001/X12d1/X10c,4.931418487650027,0.7434763530903273,55.52896595774345,-47.22207747594762,-3.183
NGC1433,PHANGS-ALMA,0.003527,10.87,0.05,18.63,H30a,CO21,2018.1.01651.S,uid://A001/X136e/X9c,5.0862402547311385,0.7209631536775118,55.486020656514505,-47.22207785799967,-3.197
NGC1300,PHANGS-ALMA,0.005155,10.62,0.07,18.99,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X140,5.300663479664298,0.6803863460067756,49.90489776653345,-19.411360025349317,-3.211
NGC4535,PHANGS-ALMA,0.006517,10.54,0.34,15.77,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2d3,14.801716382610769,23.598949992415335,188.5846250000169,8.197761100001483,-3.226
NGC1512,PHANGS-ALMA,0.002907,10.72,0.11,18.83,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X138,6.423675664634658,0.7140556845191811,60.97616971568141,-43.34884890083904,-3.247
NGC7743,PHANGS-ALMA,0.005628,10.36,-0.67,20.32,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X66e,0.9730367527005073,0.5169772473956983,356.0880416666186,9.93404165816815,-3.274
NGC4596,PHANGS-ALMA,0.006282,10.59,-0.96,15.76,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X650,0.8605564718967345,0.5103115344903328,189.98277820462008,10.175748874288601,-3.29
NGC1300,PHANGS-ALMA,0.005155,10.62,0.07,18.99,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X13c,7.6143456029518815,0.7050396134504653,49.93588845992511,-19.411360209509724,-3.369
NGC4477,PHANGS-ALMA,0.004544,10.59,-1.1,15.76,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X656,0.9780371795722045,0.5366842148451947,187.50905000002362,13.636441654913396,-3.485
MaNGA-8082-6103,ALMaQUEST,0.024157,10.2,0.35,,H30a,CO21,2024.1.00808.S,uid://A001/X3788/X9534,1.2394062679093338,0.9057855782259052,49.782169342076564,0.9559599757197287,-3.773
MaNGA-8623-6104,ALMaQUEST,0.097041,11.34,1.2,,H40a,CO10,2018.1.00541.S,uid://A001/X133d/Xea3,0.5551924552319794,2.4036783207566255,311.780975339982,0.3004607000000825,-3.782
NGC4476,PHANGS-ALMA,0.006547,9.81,-1.39,17.54,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X662,0.97622530263443,0.705901808331402,187.49617083334866,12.348669433787276,-3.868
NGC7743,PHANGS-ALMA,0.005628,10.36,-0.67,20.32,H30a,CO21,2019.1.01305.S,uid://A001/X1465/X1194,3.9076712931808726,1.2328303008737274,356.0880508660412,9.934145245239298,-3.878
NGC4459,PHANGS-ALMA,0.00397,10.68,-0.65,15.85,H30a,CO21,2018.1.00484.S,uid://A001/X133d/Xd40,6.960868399531896,23.49820543176407,187.25010833331683,13.978580555561416,-3.893
NGC4459,PHANGS-ALMA,0.00397,10.68,-0.65,15.85,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X64c,7.860069450663592,5.4006333014403936,187.24917958428503,13.97918297398305,-3.945
NGC3599,PHANGS-ALMA,0.002791,10.04,-1.35,19.86,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X668,1.1478426319199768,0.549085047520541,168.86252463068772,18.109835147547393,-4.006
NGC4477,PHANGS-ALMA,0.004544,10.59,-1.1,15.76,H30a,CO21,2012.1.00139.S,uid://A002/X5a9a13/Xe9,3.6093873520138535,0.5770605902206116,187.50905,13.636442000000002,-4.053
NGC4596,PHANGS-ALMA,0.006282,10.59,-0.96,15.76,H30a,CO21,2018.1.00484.S,uid://A001/X133d/Xd48,6.805768372740429,23.553604794768248,189.98306249998967,10.176030555560978,-4.188
NGC7743,PHANGS-ALMA,0.005628,10.36,-0.67,20.32,H30a,CO21,2018.1.00484.S,uid://A001/X133d/Xd68,8.050376824136528,23.536745948087628,356.0880416666758,9.934041666671893,-4.192
NGC4596,PHANGS-ALMA,0.006282,10.59,-0.96,15.76,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X652,9.292386176811188,5.700522773931947,189.98254532162449,10.176611271352046,-4.323
NGC4477,PHANGS-ALMA,0.004544,10.59,-1.1,15.76,H30a,CO21,2018.1.00484.S,uid://A001/X133d/Xd50,6.982561752032323,23.50976894057758,187.50904999998897,13.63644166667279,-4.339
NGC7743,PHANGS-ALMA,0.005628,10.36,-0.67,20.32,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X670,11.831814130404991,5.207819368820323,356.08817474500336,9.93492369711325,-4.359
NGC4477,PHANGS-ALMA,0.004544,10.59,-1.1,15.76,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X658,8.327600218304854,5.191443506798379,187.50813822842392,13.636532622701257,-4.416
MaNGA-8950-12705,ALMaQUEST,0.025277,10.73,-0.39,,H30a,CO21,2021.1.01616.L,uid://A001/X1590/X296,1.8417743888342728,0.9051553762793134,194.72568330337796,27.828948983711488,-4.724
NGC3599,PHANGS-ALMA,0.002791,10.04,-1.35,19.86,H30a,CO21,2018.1.00484.S,uid://A001/X133d/Xd60,6.381285481425832,23.4673851777586,168.86230416663417,18.110369444444885,-4.751
NGC4476,PHANGS-ALMA,0.006547,9.81,-1.39,17.54,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X664,7.8729406688671455,5.33467012587553,187.49569703127872,12.347906289860136,-4.774
NGC4476,PHANGS-ALMA,0.006547,9.81,-1.39,17.54,H30a,CO21,2018.1.00484.S,uid://A001/X133d/Xd58,9.126770871163924,23.558591305964324,187.4961708333128,12.348669444442594,-4.838
NGC3599,PHANGS-ALMA,0.002791,10.04,-1.35,19.86,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X66a,9.80868813684275,5.177588183665587,168.86278647566712,18.110688783936254,-4.938
MaNGA-8081-12703,ALMaQUEST,0.025583,10.51,-0.98,,H30a,CO21,2024.1.00808.S,uid://A001/X3788/X9534,1.3748560020469958,0.8954571567491372,50.39136886599939,-0.17836999893183392,-5.198
MaNGA-8950-12705,ALMaQUEST,0.025277,10.73,-0.39,,H30a,CO21,2021.1.01616.L,uid://A001/X1590/X298,10.691193628995604,5.910519203747649,194.72574880165268,27.82886001217785,-5.488
MaNGA-8081-6102,ALMaQUEST,0.037189,10.95,-1.52,,H30a,CO21,2024.1.00808.S,uid://A001/X3788/X94f4,1.2173736832632025,0.8576979921381168,49.940139770558694,-0.07718999683848825,-6.01
MaNGA-8081-12703,ALMaQUEST,0.025583,10.51,-0.98,,H30a,CO21,2024.1.00808.S,uid://A001/X3788/X95d8,10.25128372815334,4.658524318421013,50.39136886599808,-0.17836999893185634,-6.07
MaNGA-8155-6101,ALMaQUEST,0.037403,11.18,-3.03,,H30a,CO21,2024.1.00808.S,uid://A001/X3788/X94f4,1.2173746924834374,0.8313792505821325,53.814109802289444,-1.2286100387576266,-7.525
